areas, ws, hs
cxs[i],cys[i],object_areas[i],ws[i],hs[i],framenr[i]

21903.7,205.63333333333333,139.43333333333334
81.37856086038948,163.48046924873637,22191.5,185.0,155.0,1079.0
91.02132165175327,162.28929903599283,24083.5,202.0,155.0,1080.0
100.90368560779093,160.60054817374726,25174.5,217.0,156.0,1081.0
114.86659801164495,159.71980169261033,25247.0,225.0,155.0,1082.0
131.050277670938,159.18197399407543,24699.5,223.0,154.0,1083.0
148.26904354248495,159.98659818041426,24822.5,220.0,154.0,1084.0
164.40572645494962,159.0767560690604,24104.5,217.0,153.0,1085.0
182.62530512937485,149.84523838107356,20824.5,215.0,120.0,1086.0
199.9498757854742,150.0652248039359,20529.0,211.0,119.0,1087.0
217.6468283306225,150.49352687006095,20289.0,209.0,119.0,1088.0
235.44712251557402,151.0255529186855,20226.0,206.0,119.0,1089.0
254.9334636099328,155.3972483040211,20981.0,204.0,144.0,1090.0
273.1909247585995,157.1956071802378,21178.5,201.0,144.0,1091.0
290.4525634474536,157.89656400489307,21527.0,201.0,144.0,1092.0
307.00584917484855,158.81150337720214,21541.5,199.0,146.0,1093.0
323.03697314434913,158.7149073728708,21448.0,198.0,145.0,1094.0
338.34156983527,158.7110691119511,21429.0,197.0,146.0,1095.0
355.25417525773196,152.1228178694158,19400.0,198.0,116.0,1096.0
372.79952653450505,152.39570985761972,19572.0,199.0,117.0,1097.0
390.32329489902565,152.78867873638782,19774.0,200.0,120.0,1098.0
408.05737863181133,153.41872549760328,19853.5,201.0,123.0,1099.0
425.1588434096883,154.09240205282262,19972.5,202.0,125.0,1100.0
442.3309514258014,154.6138802527329,19942.0,204.0,126.0,1101.0
460.47361391087725,155.69561761476308,20339.0,206.0,130.0,1102.0
480.038959923813,158.1348102352739,21351.0,209.0,145.0,1103.0
499.3210004584432,160.1231258313981,22176.5,212.0,149.0,1104.0
517.5178502467281,162.22349996424228,23305.0,214.0,150.0,1105.0
535.0749473713367,163.70883884549332,24068.0,214.0,150.0,1106.0
546.158330199323,164.92125276837575,23931.0,198.0,151.0,1107.0
555.6241173079694,165.59134601527597,23130.0,182.0,153.0,1108.0

16801.28,188.28,113.68
83.73508239292738,157.97311489182943,17457.0,182.0,132.0,1485.0
96.29521604527591,158.16018663899015,18788.5,202.0,132.0,1486.0
115.43945930399768,159.06193377911993,18544.0,203.0,132.0,1487.0
135.13360964170803,159.70917634654887,18337.0,200.0,130.0,1488.0
155.40073212106782,155.40149598722257,16800.5,198.0,105.0,1489.0
176.39377150757366,155.58119140605288,16515.5,195.0,104.0,1490.0
196.76578958154022,155.86968728226566,16266.0,193.0,103.0,1491.0
217.23576580486494,156.30971128608923,16129.0,189.0,103.0,1492.0
237.70150256283065,156.2536685681217,16128.0,187.0,103.0,1493.0
257.45735814469026,156.86368674596068,15638.0,184.0,104.0,1494.0
278.79787650714,156.82203309092063,15744.5,183.0,103.0,1495.0
300.2288160897476,157.10593554716658,15629.0,183.0,103.0,1496.0
319.80352525935217,156.90026069325094,15535.5,181.0,103.0,1497.0
339.0783706326126,157.18215535044462,15818.0,181.0,104.0,1498.0
359.12956572212545,157.1105060418975,15792.5,181.0,105.0,1499.0
379.69172325620383,157.32282235077128,15904.0,181.0,105.0,1500.0
400.5874871731086,157.92970345263637,16079.5,183.0,107.0,1501.0
421.4254701116037,158.6205371248025,16352.5,184.0,110.0,1502.0
440.2255867312817,159.1816320441193,16198.5,180.0,112.0,1503.0
461.9481676289511,160.80556815090233,16540.5,188.0,114.0,1504.0
485.2467856684724,161.29564942817953,16890.5,193.0,116.0,1505.0
506.4460148858812,163.18013439171565,17511.0,195.0,122.0,1506.0
527.4449263824453,164.60023242832696,18213.5,197.0,128.0,1507.0
545.4258155432433,166.47008726553403,19041.5,192.0,130.0,1508.0
557.0140466694172,168.46376014303397,18177.5,172.0,132.0,1509.0

27250.716666666667,222.5,152.03333333333333
85.26920394020587,172.36180268982284,25565.5,197.0,166.0,2246.0
94.36234617323487,172.28162381757255,28102.5,213.0,164.0,2247.0
104.171463601027,170.56976034570914,30314.5,230.0,163.0,2248.0
115.37449634852682,169.40701859313353,31768.0,246.0,162.0,2249.0
130.97844266767396,168.70822315957358,31768.0,264.0,159.0,2250.0
148.108049824584,167.925300674842,31069.0,279.0,159.0,2251.0
167.39673795636205,167.9443670339166,30860.0,245.0,160.0,2252.0
187.61867047448263,166.9792617928836,30113.5,240.0,159.0,2253.0
206.97312360455942,167.80270498637432,29784.5,237.0,159.0,2254.0
226.16358892691358,168.37216932651148,29513.0,234.0,159.0,2255.0
244.31453416009143,168.92185784040413,29593.5,230.0,157.0,2256.0
264.15830824927974,167.5654972510224,28404.5,229.0,153.0,2257.0
283.91848868431146,166.95361047180668,27808.0,227.0,153.0,2258.0
302.8255090427769,165.53844726490016,26946.0,225.0,154.0,2259.0
320.30976207180925,165.9340989377546,27081.0,224.0,154.0,2260.0
336.9630058956238,165.35017263084418,26743.0,223.0,153.0,2261.0
353.29660405074003,165.36088185134008,26777.0,238.0,152.0,2262.0
371.2834196403352,164.6716567805919,26552.5,224.0,152.0,2263.0
391.55694872034076,165.12242435550579,26797.5,226.0,152.0,2264.0
412.26986842105265,165.40914786967417,26600.0,225.0,152.0,2265.0
430.7724482324892,165.95106413601914,26633.5,227.0,153.0,2266.0
450.26785868852863,166.83686982972884,26957.0,230.0,156.0,2267.0
471.79842644778154,164.8659454552332,26437.0,231.0,155.0,2268.0
