Frame, cxs, cys, ws, hs, areas
1493,474.244177963156,268.7831074035454,34.0,45.0,959.0
1494,471.6963226571767,268.8864599220471,37.0,45.0,983.5
1495,469.3669052488071,269.40405589638715,35.0,45.0,978.0
1496,467.38534646621736,269.50388802488334,34.0,45.0,964.5
1497,464.50258204231216,269.4309511910711,36.0,46.0,1000.5
1498,462.170752042688,269.83558445889605,37.0,46.0,999.5
1499,460.15620437956204,269.81589618815894,37.0,46.0,1027.5
1500,457.86917647058823,270.0312156862745,37.0,46.0,1062.5
1501,455.70705685108976,269.7319006249047,38.0,47.0,1093.5
1502,454.6639540449976,269.4648157012925,39.0,47.0,1044.5
1503,453.28694768918234,267.68071779244957,38.0,47.0,984.5
1504,451.8727272727273,266.7932263814617,40.0,48.0,935.0
1505,450.0722598575647,266.5409067222512,38.0,48.0,959.5
1506,447.786036036036,265.92498267498263,38.0,48.0,962.0
1507,446.4544677942935,265.78455492909615,39.0,48.0,975.5
1508,445.2456503014642,265.5090439276486,39.0,48.0,967.5
1509,443.4741595584546,265.77487874226455,38.0,49.0,996.5
1510,441.5754872811364,266.07598282127515,40.0,49.0,1009.0
1511,440.9655460779394,266.11021910018394,39.0,50.0,996.5
1512,438.83556618819773,265.78309409888357,40.0,49.0,1045.0
1513,435.03197977093555,266.7920571173583,50.0,49.0,1120.5
1514,433.15425531914894,266.3359929078014,50.0,50.0,1128.0
1515,430.654395842356,266.63072036956834,51.0,48.0,1154.5
1516,429.1463146314631,267.7468175388967,52.0,48.0,1060.5
1517,426.5913108614232,268.3598501872659,54.0,48.0,1112.5
1518,424.69788754271514,269.14600807704255,56.0,48.0,1073.0
1519,422.08029416178897,268.9293111211166,55.0,47.0,1110.5
1520,425.1389968535998,268.9189339255969,34.0,47.0,900.5
1521,423.13404977375563,269.0942684766214,32.0,48.0,884.0
1522,416.0158654608916,268.5024591464382,53.0,48.0,1050.5
1523,417.75071963154863,269.0811744386874,39.0,47.0,868.5
1524,415.78752886836025,269.74422632794455,33.0,48.0,866.0
1525,413.58460380199506,269.8354978354978,34.0,48.0,885.5
1526,412.6375305623472,269.7037489812551,29.0,48.0,818.0
1527,410.343535412988,268.9988228369629,31.0,48.0,849.5
1528,408.11389998098497,268.4443810610382,33.0,48.0,876.5
1529,406.440194975628,268.96100487439065,37.0,49.0,889.0
1530,404.5307354555434,267.9985364068789,34.0,49.0,911.0
1531,402.53903821539586,267.45419637959407,34.0,50.0,911.5
1532,400.75770162686047,268.50276912426443,36.0,51.0,963.0
1533,398.55966050923615,267.9670494258612,37.0,51.0,1001.5
1534,397.1556916794283,267.55215245873745,33.0,51.0,979.5
1535,395.4901158827539,268.0310156782549,34.0,51.0,978.0
1536,393.4884318766067,267.5357326478149,34.0,52.0,972.5
1537,391.9736481861738,268.039356605065,33.0,52.0,974.0
1538,390.0296222333167,268.3619570644034,34.0,52.0,1001.5
1539,387.76999830881107,268.7106375782175,33.0,51.0,985.5
1540,385.99649122807017,269.0862155388471,33.0,51.0,997.5
1541,383.58490566037733,269.53111552466066,33.0,50.0,1007.0
1542,381.08979523329975,269.9474655924807,32.0,50.0,993.0
1543,379.07891637220257,270.46508497391886,34.0,50.0,990.5
1544,376.53596660244057,270.1231535003211,35.0,50.0,1038.0
1545,374.16846758349703,269.99034053700063,35.0,50.0,1018.0
1546,371.11093937832726,269.415593336768,35.0,50.0,970.5
1547,368.4112685560054,270.17999325236167,37.0,51.0,988.0
1548,365.5648752720576,269.6445672191528,34.0,51.0,995.5
1549,363.591310251188,269.3923964697895,35.0,51.0,982.0
1550,361.4393620750087,268.959516298633,35.0,51.0,951.0
1551,359.21020699500355,268.4735902926481,35.0,51.0,934.0
1552,357.0208550573514,268.11887382690304,35.0,52.0,959.0
1553,355.14668769716087,268.5452155625657,35.0,52.0,951.0
1554,353.0726276121959,268.5243233984241,36.0,53.0,973.0
1555,351.1936666666666,268.7215,35.0,53.0,1000.0
