areas, ws, hs
cxs[i],cys[i],object_areas[i],ws[i],hs[i],framenr[i]

24312.283333333333,207.53333333333333,150.26666666666668
80.32919909902203,166.6300145411,23382.0,185.0,158.0,1079.0
89.05885033229835,165.7104935981305,25604.5,202.0,158.0,1080.0
98.54136302543805,164.49789146598602,27033.0,217.0,159.0,1081.0
113.2478580917212,163.9712990384264,27351.0,225.0,159.0,1082.0
129.72764590066495,163.8249192020506,26919.0,224.0,158.0,1083.0
146.63131266101746,164.05725548623394,26847.5,221.0,157.0,1084.0
162.51604495639126,163.4482289521194,26218.0,217.0,156.0,1085.0
179.40557866917862,162.51075437632468,25478.0,215.0,156.0,1086.0
196.48915282347588,162.2654950111013,24922.0,213.0,156.0,1087.0
215.0604415417902,163.13662285973768,24958.0,209.0,156.0,1088.0
233.51604054859868,164.0652554164182,25155.0,206.0,155.0,1089.0
251.24946980080875,163.8558199163956,24440.5,204.0,152.0,1090.0
270.6721592640628,162.84366296004933,23516.5,202.0,148.0,1091.0
288.5940704270577,162.57715223518497,23357.5,203.0,146.0,1092.0
305.56123951231365,162.8851821677172,23321.0,200.0,148.0,1093.0
321.27745668864344,163.21395239318434,23358.0,199.0,149.0,1094.0
336.68118883131837,162.79240788716177,23160.0,200.0,149.0,1095.0
352.18314548065626,162.31070397609412,22979.0,200.0,149.0,1096.0
368.8227323068905,162.0874430859881,23024.5,201.0,148.0,1097.0
386.60693756632475,160.79667786817592,22616.0,204.0,148.0,1098.0
406.9853836286837,154.5623013635955,20399.5,204.0,123.0,1099.0
424.5566416222919,155.13868423825386,20563.5,206.0,126.0,1100.0
441.98058590272717,155.55753823743626,20595.0,206.0,127.0,1101.0
460.47908164378777,162.51899056473377,22910.5,209.0,151.0,1102.0
479.82738171423694,163.62740873472984,23439.0,213.0,150.0,1103.0
497.48625132882376,165.9054216010888,24614.5,216.0,152.0,1104.0
514.8266713349283,167.47973520582494,25705.5,218.0,152.0,1105.0
530.815817150584,168.78663811992135,26623.0,218.0,153.0,1106.0
542.5760315475618,169.1831105126479,25992.5,202.0,154.0,1107.0
552.4023120148419,169.30232340077825,24884.5,187.0,155.0,1108.0

17269.4,189.64,116.16
82.5634182799227,160.5106912391994,18286.0,182.0,133.0,1485.0
95.08901930764651,160.32386663264438,19595.0,202.0,134.0,1486.0
114.35097591756997,161.04800062237436,19281.0,203.0,132.0,1487.0
133.85660160434793,161.8164145175198,19135.5,201.0,131.0,1488.0
153.26448193289747,161.21399808073468,18583.5,198.0,131.0,1489.0
175.2458468144894,156.44399259896898,16844.5,195.0,106.0,1490.0
195.69673988579027,156.5453666495453,16548.5,192.0,105.0,1491.0
216.31023293662903,156.87137625877327,16385.0,190.0,105.0,1492.0
236.82781369439698,156.77944823940797,16396.0,187.0,104.0,1493.0
256.557404674433,157.2950461058603,15923.5,185.0,105.0,1494.0
277.9298825829667,157.34958867638034,16025.5,184.0,105.0,1495.0
299.2303054998328,157.7771125877633,15952.0,184.0,107.0,1496.0
319.0963850344006,157.57232565245334,15818.5,182.0,107.0,1497.0
338.53152199848535,157.82093098046536,16065.5,182.0,107.0,1498.0
358.64295754849593,157.6454877705932,16006.5,183.0,106.0,1499.0
379.0432880331032,157.8715495980765,16151.5,183.0,106.0,1500.0
399.8382331924624,158.46702803127744,16327.0,184.0,108.0,1501.0
420.7368452775601,159.1908564884576,16591.0,186.0,110.0,1502.0
440.08251303420093,159.6529077842865,16559.0,183.0,113.0,1503.0
461.3455817502551,161.3226506525552,16818.5,190.0,114.0,1504.0
483.84620496373986,162.18003910124912,17305.5,196.0,117.0,1505.0
505.9411896118403,164.10955040491484,17905.0,198.0,123.0,1506.0
526.6689699772327,165.78876870332473,18813.5,201.0,128.0,1507.0
544.9383626925368,167.68318440983745,19585.0,195.0,132.0,1508.0
556.6704986946324,170.03062967387936,18832.5,175.0,135.0,1509.0

29481.0,233.75862068965517,159.06896551724137
85.2441320754717,174.97832704402512,26500.0,198.0,170.0,2246.0
93.52924642179686,174.7147094326608,28995.0,213.0,169.0,2247.0
102.30918898397583,173.65880485734323,31608.5,230.0,168.0,2248.0
112.0551988132927,172.83950580411366,33482.0,246.0,167.0,2249.0
