areas, ws, hs
cxs[i],cys[i],object_areas[i],ws[i],hs[i],framenr[i]
446.4544677942935,265.78455492909615,975.5,39.0,48.0,1507.0
445.2456503014642,265.5090439276486,967.5,39.0,48.0,1508.0
443.4741595584546,265.77487874226455,996.5,38.0,49.0,1509.0
441.5754872811364,266.07598282127515,1009.0,40.0,49.0,1510.0
440.9655460779394,266.11021910018394,996.5,39.0,50.0,1511.0
438.83556618819773,265.78309409888357,1045.0,40.0,49.0,1512.0
435.03197977093555,266.7920571173583,1120.5,50.0,49.0,1513.0
433.15425531914894,266.3359929078014,1128.0,50.0,50.0,1514.0
430.654395842356,266.63072036956834,1154.5,51.0,48.0,1515.0
429.1463146314631,267.7468175388967,1060.5,52.0,48.0,1516.0
426.5913108614232,268.3598501872659,1112.5,54.0,48.0,1517.0
424.69788754271514,269.14600807704255,1073.0,56.0,48.0,1518.0
422.08029416178897,268.9293111211166,1110.5,55.0,47.0,1519.0
425.1291458217528,268.92829349638686,899.5,34.0,47.0,1520.0
423.13404977375563,269.0942684766214,884.0,32.0,48.0,1521.0
416.0158654608916,268.5024591464382,1050.5,53.0,48.0,1522.0
417.75071963154863,269.0811744386874,868.5,39.0,47.0,1523.0
415.78752886836025,269.74422632794455,866.0,33.0,48.0,1524.0
413.58460380199506,269.8354978354978,885.5,34.0,48.0,1525.0
412.6375305623472,269.7037489812551,818.0,29.0,48.0,1526.0
410.343535412988,268.9988228369629,849.5,31.0,48.0,1527.0
408.11389998098497,268.4443810610382,876.5,33.0,48.0,1528.0
406.440194975628,268.96100487439065,889.0,37.0,49.0,1529.0
404.5307354555434,267.9985364068789,911.0,34.0,49.0,1530.0
402.53903821539586,267.45419637959407,911.5,34.0,50.0,1531.0
400.75770162686047,268.50276912426443,963.0,36.0,51.0,1532.0
398.55966050923615,267.9670494258612,1001.5,37.0,51.0,1533.0
397.1556916794283,267.55215245873745,979.5,33.0,51.0,1534.0
395.4823529411765,268.0329070758738,977.5,34.0,51.0,1535.0
393.4884318766067,267.5357326478149,972.5,34.0,52.0,1536.0
391.9736481861738,268.039356605065,974.0,33.0,52.0,1537.0
390.0296222333167,268.3619570644034,1001.5,34.0,52.0,1538.0
387.76999830881107,268.7106375782175,985.5,33.0,51.0,1539.0
385.99649122807017,269.0862155388471,997.5,33.0,51.0,1540.0
383.58490566037733,269.53111552466066,1007.0,33.0,50.0,1541.0
381.08979523329975,269.9474655924807,993.0,32.0,50.0,1542.0
379.07891637220257,270.46508497391886,990.5,34.0,50.0,1543.0
376.53596660244057,270.1231535003211,1038.0,35.0,50.0,1544.0
374.16846758349703,269.99034053700063,1018.0,35.0,50.0,1545.0
371.11093937832726,269.415593336768,970.5,35.0,50.0,1546.0
368.4112685560054,270.17999325236167,988.0,37.0,51.0,1547.0
365.5648752720576,269.6445672191528,995.5,34.0,51.0,1548.0
363.591310251188,269.3923964697895,982.0,35.0,51.0,1549.0
361.4234281700035,268.91833508956796,949.0,35.0,51.0,1550.0
359.21020699500355,268.4735902926481,934.0,35.0,51.0,1551.0
357.00885416666665,268.1197916666667,960.0,35.0,52.0,1552.0
355.14668769716087,268.5452155625657,951.0,35.0,52.0,1553.0
353.0699948533196,268.5433178932921,971.5,36.0,53.0,1554.0
351.1936666666666,268.7215,1000.0,35.0,53.0,1555.0
349.37223870755025,268.4515331355094,1011.0,36.0,53.0,1556.0
346.98363095238096,268.2915013227513,1008.0,34.0,54.0,1557.0
345.4036697247706,268.4703042008691,1035.5,37.0,54.0,1558.0
343.8314454009968,268.1690077027639,1103.5,38.0,55.0,1559.0
341.8897541609406,268.16078790655064,1091.5,37.0,55.0,1560.0
340.2023156611822,268.27041438147467,1094.0,36.0,55.0,1561.0
338.2179957225787,268.27161625420104,1091.0,37.0,54.0,1562.0
335.6418190342241,268.19127988748244,1066.5,37.0,54.0,1563.0
334.0646976090014,268.1408032505079,1066.5,37.0,54.0,1564.0
331.6192242311853,268.6034615978983,1078.5,38.0,53.0,1565.0
329.6819056785371,268.9754571703561,1039.0,38.0,52.0,1566.0
327.481852913085,269.38920725883474,1047.0,39.0,51.0,1567.0
325.5287467700258,269.78746770025833,1032.0,36.0,50.0,1568.0
323.254141815772,270.5279986746189,1006.0,37.0,49.0,1569.0
320.82872001342054,270.8570709612481,993.5,36.0,48.0,1570.0
318.7436436963002,271.43012449587934,950.5,36.0,48.0,1571.0
316.45697438732265,272.0095817210245,904.5,35.0,46.0,1572.0
314.203305785124,272.1878787878788,907.5,35.0,45.0,1573.0
311.9825635318123,272.85735485067704,898.5,36.0,44.0,1574.0
309.80046811000585,273.05753852155254,854.5,35.0,43.0,1575.0
306.7980563654033,272.60913508260444,857.5,35.0,44.0,1576.0
304.61130811662724,272.89204097714736,846.0,34.0,42.0,1577.0
302.2374346602332,272.764977885002,829.0,34.0,42.0,1578.0
300.5935585852598,272.948626753606,843.5,35.0,42.0,1579.0
298.90183061758194,273.1192918929793,828.5,34.0,40.0,1580.0
296.99263993802055,272.257795855123,860.5,33.0,44.0,1581.0
294.2852196099872,271.22015673409874,914.5,37.0,46.0,1582.0
290.69464594127805,269.37996545768567,965.0,39.0,49.0,1583.0
288.0855741586335,268.2939286318281,985.5,39.0,49.0,1584.0
285.8937150378414,267.8688713392563,1013.0,39.0,49.0,1585.0
282.53767686739053,267.1215860480421,1013.0,38.0,49.0,1586.0
279.9644808743169,266.70813243330116,1037.0,40.0,49.0,1587.0
277.3034515819751,266.84499840204535,1043.0,40.0,48.0,1588.0
274.5368166925332,267.66890843248837,966.5,38.0,47.0,1589.0
271.93810916179336,268.4697855750487,1026.0,37.0,48.0,1590.0
269.8959246630946,268.56031823347945,1026.5,38.0,48.0,1591.0
266.93978188715033,268.5376955903272,1054.5,39.0,48.0,1592.0
264.503559269576,269.15784586815226,1077.0,42.0,48.0,1593.0
261.4263876521223,269.60670822202434,1123.0,45.0,48.0,1594.0
258.6242912563414,269.80841539838855,1117.0,46.0,48.0,1595.0
256.0615577889447,269.8898659966499,1194.0,49.0,48.0,1596.0
253.64801469549244,269.75356789600113,1179.5,49.0,47.0,1597.0
251.2207468879668,269.76473029045644,1205.0,48.0,47.0,1598.0
249.0722315907813,269.5855817875211,1186.0,49.0,47.0,1599.0
247.02288557213927,269.1424307036247,1172.5,47.0,47.0,1600.0
245.88756894357235,269.12049215103946,1178.5,46.0,48.0,1601.0
244.62170735071024,268.2272789960005,1208.5,45.0,49.0,1602.0
243.3551260964912,267.81839364035085,1216.0,43.0,48.0,1603.0
242.33585434173665,267.84985994397755,1190.0,42.0,48.0,1604.0
240.7479193116095,267.56890957821975,1181.5,42.0,47.0,1605.0
239.3190516995144,267.37032276492425,1167.0,40.0,47.0,1606.0
237.5840137516115,267.1233347657929,1163.5,38.0,48.0,1607.0
236.12015338730293,266.4226672347678,1173.5,37.0,48.0,1608.0
